badge id;badge title;read only access;criteria;metrics;significance (for evaluation of sustainability);expense for deployment;data source;level;example;available for;comment
;https://shields.io/category/license;1;06-Lizenzierung;license;high;low;file in repository;low;https://img.shields.io/github/license/Edirom/MerMEId;;
;https://shields.io/category/version;1;05-Versionsmanagement;latest version;;low;SemVer in Repo;low;https://img.shields.io/github/v/release/digicademy/sturm-exist-app;;
;RocketChat Shield;1;03-Software-Management;support chat active members;;low;RocketChat API;low;https://nfdi4culture-chat.nfdi.de/api/v1/shield.svg?type=online;;
;https://shields.io/category/chat;1;03-Software-Management;communication channel activity;;low;;low;;discord, discourse, gitter, matrix, stack exchange;
;https://shields.io/category/dependencies;0;02-Dokumentation, 04-Qualitätssicherung;outdated dependencies;;;;;;;
;fair-software howfairis;;;;;medium;;high;;;
;https://shields.io/category/build - /readthedocs/...;;02-Dokumentation;technical documentation published;;medium;readthedocs API;low;;;"only checks readthedocs.org; maybe we need custom version for i.e. nfdi documentation hub"
;https://shields.io/category/issue-tracking;;03-Software-Management;;;;;;;;
;https://shields.io/category/analysis;;04-Qualitätssicherung;;;;;;;;
;https://shields.io/category/build;;04-Qualitätssicherung, 07 Publikation und Archivierung;;;;;;;;Testing Docker and other builds/pipelines
;https://www.softwareheritage.org/2020/01/13/the-swh-badges-are-here/;;07 Publikation und Archivierung;;;;;;;;
